Age,5km,6km,4Mile,8km,5Mile,10km,12km,15km,10Mile,20km,H. Mar,25km,30km,Marathon,50km,50Mile,100km,150km,100Mile,200km
5,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6510,0.6495,0.6400,0.6369,0.6290,0.6243,0.6211,0.6211,0.6211,0.6211,0.6211,0.6211,0.6211
6,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6884,0.6870,0.6781,0.6752,0.6678,0.6634,0.6604,0.6604,0.6604,0.6604,0.6604,0.6604,0.6604
7,0.7250,0.7250,0.7250,0.7250,0.7250,0.7250,0.7250,0.7236,0.7223,0.7140,0.7113,0.7044,0.7003,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975
8,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7566,0.7554,0.7477,0.7452,0.7388,0.7350,0.7324,0.7324,0.7324,0.7324,0.7324,0.7324,0.7324
9,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7874,0.7863,0.7792,0.7769,0.7710,0.7675,0.7651,0.7651,0.7651,0.7651,0.7651,0.7651,0.7651
10,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8160,0.8150,0.8085,0.8064,0.8010,0.7978,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956
11,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8424,0.8415,0.8356,0.8337,0.8288,0.8259,0.8239,0.8239,0.8239,0.8239,0.8239,0.8239,0.8239
12,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8666,0.8658,0.8605,0.8588,0.8544,0.8518,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500
13,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8886,0.8879,0.8832,0.8817,0.8778,0.8755,0.8739,0.8739,0.8739,0.8739,0.8739,0.8739,0.8739
14,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9084,0.9078,0.9037,0.9024,0.8990,0.8970,0.8956,0.8956,0.8956,0.8956,0.8956,0.8956,0.8956
15,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9260,0.9255,0.9220,0.9209,0.9180,0.9163,0.9151,0.9151,0.9151,0.9151,0.9151,0.9151,0.9151
16,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9414,0.9410,0.9381,0.9372,0.9348,0.9334,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324
17,0.9550,0.9550,0.9550,0.9550,0.9550,0.9550,0.9550,0.9546,0.9543,0.9520,0.9513,0.9494,0.9483,0.9475,0.9475,0.9475,0.9475,0.9475,0.9475,0.9475
18,0.9670,0.9670,0.9670,0.9670,0.9670,0.9670,0.9670,0.9667,0.9665,0.9648,0.9643,0.9629,0.9621,0.9615,0.9615,0.9615,0.9615,0.9615,0.9615,0.9615
19,0.9790,0.9790,0.9790,0.9790,0.9790,0.9790,0.9790,0.9788,0.9787,0.9776,0.9773,0.9764,0.9759,0.9755,0.9755,0.9755,0.9755,0.9755,0.9755,0.9755
20,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9892,0.9891,0.9886,0.9884,0.9879,0.9877,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875
21,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9959,0.9958,0.9957,0.9956,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955
